Tweet	subtask_a	subtask_b	subtask_c
Watch the news before making the f ray thevaliya people like your retarded devotees. Fewer es ...	Offensive	TIN	GRP
Let's get this tweet speaks of Maharashtra Chhatrapati Shivaji to Kangana This rascal must have burned you exactly ...	Offensive	TIN	IND
Who will be Prime Minister of a country or quarterly, but only a fool like his competence chatrapatina feet of ...	Offensive	UNT	NULL
A worthless woman says porn star and the other a Maharashtrian girl worthless bai ...	Offensive	UNT	NULL
Bound feet past the man down ... boca no benefit	Offensive	TIN	IND
Civasainika are now convinced that the slow	Offensive	UNT	NULL
The protesters did you put in your mouth, cutting his wife phevikolaca whole car ??	Offensive	UNT	NULL
dickhead kaganna	Offensive	TIN	IND
goats	Offensive	UNT	NULL
Oh foolish to say that the Mayor ...	Offensive	TIN	IND
Shivaji in Maharashtra Pakistan says the woman herself slow queen of Jhansi understand. Mu ...	Offensive	TIN	IND
lavada lyrics	Offensive	UNT	NULL
Ahecam worthless if the BJP. Their insubordination and trustees have increased a lot in six years. But such insubordination and violence that communist varsanuva ...	Offensive	TIN	GRP
Labadansi constant battle that would win no dickhead would not stop no real weak humble bhabadam	Offensive	UNT	NULL
Watch the news before making the f ray thevaliya people like your retarded devotees.	Offensive	TIN	IND
These people are going to name nakotithe like a fool Marathi identity politics of Maharashtra big losses by surplus. Said Ma ...	Offensive	UNT	NULL
Farmers scattered protests, the government announced lavanarya dalabhadri. Let Modi's resignation.	Offensive	TIN	IND
A mistake to read the Chu senikammule that are one and a half thousand in the dirt like Michael 's what a mistake	Offensive	UNT	NULL
Hey motherfucker, what is your worthless Ray. Bhosadicyano not asking you some lavada. Rajput pots are clean ...	Offensive	TIN	GRP
Mumbai: Kangana anti maharastradrohi bevadi traitor. Babar was now a devotee of the Army paki dung mouth of the ...	Offensive	TIN	IND
Hinduism Vedas 4 6 18 antique science policy 60. 108 Upanishads are still some people who are on the anchor head dalabhadri tekavayala Pir Baba's	Offensive	TIN	GRP
Why todatoya fool lonely stars. Hey you to share padatoya florets. Kiev is your lonely. Marathi artists ...	Offensive	TIN	IND
Nusati counting .... jhata not know what happened ... thevalaya by the author ....	Offensive	UNT	NULL
The spectacle begins with the bhajapavalyanim dalabhadri win in Bihar politics.	Offensive	TIN	GRP
When his own house will be rented mind rahilyasarakhi feeling ... ... the time has come to stay ubha own feet ...	Offensive	UNT	NULL
The actress, who bhikaracota	Offensive	TIN	IND
Goats gel polish what mavia's licked leaders bhikaracota reservations about sitting	Offensive	UNT	NULL
I say you should slow at all Naik people are slow. ...	Offensive	TIN	IND
Now kelam mouth .....	Offensive	UNT	NULL
Protesters his wife assemble you put in your mouth ... Container whole phevikolaca	Offensive	UNT	NULL
Because it is heavy-handed and continue to support her venom okatoya but are confusing or slow them know sudda	Offensive	TIN	GRP
You Like? And you are srimantabala small ...	Offensive	TIN	IND
Motherfuckers do not expect 5 years	Offensive	UNT	NULL
Valyane marala side bhosada is your mother 's mother fucker	Offensive	TIN	IND
So the true history of your father could not produce pahuca Jha like your worthless avalada ...	Offensive	TIN	IND
These words are just rascal bhikaracota	Offensive	UNT	NULL
Hey dickhead man of great people spending naukarya handing out of Vishnu's avatar naukarya ...	Offensive	TIN	IND
Oh, and when Kangana was bad about drawing people into the den dalabhadri Mumbai maharastradrohi like you and just ...	Offensive	TIN	IND
Thackeray, Sanjay Raut government ani bracelet is waiting for you Merli lavuna takali ahi ani baraca tumhilokanca tondata slap in the face. In ...	Offensive	TIN	GRP
Sanjyabhau rautanca current strike rate, see the 2024 Assembly elections, how much space will senela?	Offensive	TIN	IND
Remove these dalabhadri urmila that woman with your tongue hasaduna we are	Offensive	UNT	NULL
What to eat cow dung filled the	Offensive	UNT	NULL
Some politicians whose pig used the word ... 24 7 langulacalana who fought with the votabenkela ...	Offensive	UNT	NULL
Look up the status vhotsa ... so you can have some of the same people ... How slow Rao	Offensive	UNT	NULL
And what to speak like Michael 's protests	Offensive	UNT	NULL
Tuji ayica herlead.	Offensive	TIN	IND
Come what come out of c thankless bhikaracota why the saint himself to samajatesa? And come with me to boast	Offensive	TIN	IND
Lavada take you AB	Offensive	TIN	IND
tula land where common sense to come What do all the dull intelligence that left nataki	Offensive	TIN	IND
Bhadavya journalist gdp unemployment speak a bit about the government sold recruitment companies	Offensive	TIN	IND
Varatimaguna horses like Michael 's	Offensive	UNT	NULL
If properly asked them to speak bhadavya ...	Offensive	TIN	IND
Oh my God that heavy-handed Seth and t ...	Offensive	TIN	IND
Turvy take you way too motherfuckin Nerkar. If you sleep in the village lokamba mother and sisters ...	Offensive	TIN	IND
This is where I was heavy-handed habit IT Cell 40 citakavayaci dirty money tweet what's said about the stock holding Cho ...	Offensive	UNT	NULL
No, hicasarakhe Lund cate	Offensive	TIN	IND
Journalists are bhikaracota broker polish	Offensive	TIN	GRP
So stop asking londhe and state leaders of the Indian Karan camacegiri Off ...	Offensive	TIN	GRP
Black Belt now face like Michael 's plant	Offensive	UNT	NULL
But the enemy was to be ready to battle for the Trouble in the state to vote .. and then hanging ...	Offensive	UNT	NULL
Your sister's mouth with my hand cokobara	Offensive	TIN	IND
Use them in your mouth language mutala Ravana bhadakhau	Offensive	TIN	IND
I am ashamed to speak Marathi bastard, you do not have a horse talking with the masses of Maharashtra after so dishonest ...	Offensive	TIN	IND
As the name implies are slow .. mandadara won accountant said	Offensive	TIN	IND
Great unfit mahanalayakani	Offensive	UNT	NULL
This is a big scam like you were elected by the slow	Offensive	TIN	IND
Nice thread composed ahepana need to clarify what is the heavy-handed people? Anyhow phadana ...	Offensive	TIN	GRP
A foolish you are lavarisa? I feel ashamed to write you name given father. You peel and 40 ...	Offensive	TIN	IND
After the call from David Thackeray was missing from the house itself. Shiv run watchman ...	Offensive	UNT	NULL
Oh bhadavya Gujarati Ganda of your birth jhavayala not have time randavya	Offensive	TIN	IND
Did I ever throw it like Michael 's 15 million bhetatina	Offensive	UNT	NULL
The block did bhadavya	Offensive	TIN	IND
After the church bhikaracota very valid contribution to the culture of cinema in the auction ...	Offensive	TIN	GRP
The Constitution of the country does not already Marathi bhayya national and state is based on the language in Section tyamale read and ...	Offensive	UNT	NULL
These gandacatya ... is at large in New Delhi boca be asking his dog licking ...	Offensive	TIN	IND
Mamu sir ... ... like Michael 's first street view now that they feel good speed breaker .. 20's R ...	Offensive	TIN	IND
Ai bhosada your motherfucking	Offensive	TIN	IND
landa Lele	Offensive	UNT	NULL
Are slow brain Veterans Identification ex s ...	Offensive	UNT	NULL
But to give this tweet Like the brain is slow	Offensive	UNT	NULL
Hey baghatale across tujha boca	Offensive	TIN	IND
Bhikaracota Marathi media ...	Offensive	TIN	GRP
Come Information boca .........	Offensive	UNT	NULL
Tujai widow, as he looks but the marrow tujya cutya Ba ...	Offensive	TIN	IND
Sahyadrikade if used abusive language transcript play Goats saw the eyes and the eyes will be trimmed at a vataruna tongue when someone ...	Offensive	UNT	NULL
Oh rascal tayaghalya Blind slow bhakta	Offensive	TIN	IND
Wow .. Sumit government divacale her .. really ?? Mumbai police that she and ...	Offensive	TIN	IND
Who killed them? Who along with the TV serial of Congress khelataya now ??	Offensive	UNT	NULL
A dya of your soap is slow ???? I think if you are true ... the dreaded avalada scavengers competence ...	Offensive	TIN	IND
What are people going to do that heavy-handed ruling in favor of one party, they	Offensive	TIN	GRP
If your father and say bharacaukata and boca water-springs that cool bus.	Offensive	TIN	IND
Hey motherfucker like you to come too, and the very roots of the Shiv Sena in Maharashtra was bhenacoda ...	Offensive	TIN	IND
It is quite Removing ridiculed politics and the Maratha community dalabhadri	Offensive	UNT	NULL
Hey stupid .... Municipal ...	Offensive	TIN	IND
A number of worthless woman ...	Offensive	TIN	IND
Boro has bauca Haha bhako ghatanu bhana bhanne kuro	Offensive	UNT	NULL
facts. Gentle devotees do not know how the funds in the population do not know pm care? Gentle devotees pay 40 Pai ...	Offensive	TIN	GRP
The UP Bihari people doing the last 2 days of doing his shower to Maharashtra. Oh, you motherfucker dogs ...	Offensive	TIN	GRP
Slow recession of perpetual opportunity	Offensive	UNT	NULL
If you take action everywhere if you stay in Mumbai Mumbai mahanagarapalikane keep taking what kanganaca jhatu people but not ...	Offensive	TIN	GRP
Pearl sethaca to celebrate a birthday than to celebrate the National Day of International dalabhadri unemployed day ...	Offensive	UNT	NULL
Take bhadavya my mouth. If the blind devotee slow ...	Offensive	TIN	IND
Some people in India, Pakistan border region dalabhadri luck ...	Offensive	TIN	GRP
Ray bhdvaya do not come to our state scrub Ass	Offensive	TIN	IND
Bhikaracota and selling channels Aaj Tak, like some of the dirt and show people itani is bogus and worthless jhuthi the progress of these channels is the owner .. NOT MARATHI	Offensive	NULL	NULL
Lavada knows what state madhala Ray bananas	Offensive	TIN	IND
Gandugiri do not like Michael 's. now wait	Offensive	TIN	IND
Some of the Maharashtra anti gidhadam and some crows to discredit his USC Maharashtra ...	Offensive	TIN	GRP
But if your mother said to be what you do with Ray madaracoda bhadavya. The Chhatrapati Shivaji Maharaj did this ...	Offensive	TIN	IND
🤔 .... wrote is heavy but who dalabhadri ..	Offensive	TIN	IND
Sanjay Nirupam from bliss to provide cajolement pushing for the army, and the day before scored the Marathi away a portion out ...	Offensive	UNT	NULL
Now there bhikaracota yz Rhea Kapoor ... of support feet cepatanance navarayace God for making their vatasavitri of handing ...	Offensive	TIN	IND
The same. These bhadavyammule uta ...	Offensive	TIN	IND
What is your name next to your father, we will prove my lavada the bhosri	Offensive	TIN	IND
Working together is to sit criticizing the BJP on TV you dalabhadri own sin to hide ...	Offensive	TIN	IND
You bahina banaunanahi I will tell you the widow banauna jhavayala	Offensive	TIN	IND
Despite the fact that they do not want to give answers to these questions are ridiculous so heavy-handed Questions	Offensive	UNT	NULL
2 Do not turn the MiG-moll. You Patki Knights murvha Modi, Shah horned lizard or more Upadhyay Accountancy firm. ...	Offensive	UNT	NULL
Congress also are slow to be a mistake if fertility were to proceed in favor of the Shiv Sena leaders hyanca ??	Offensive	TIN	GRP
Oh, these congya bhadavya Kangana mumba ...	Offensive	TIN	IND
General motherfucker Uddhav	Offensive	TIN	IND
How dalabhadri be born ...	Offensive	TIN	OTH
Why is it that some of them like Michael 's mountain Kosal? Amit Shah, BJP and several other political leaders and not only to me ...	Offensive	TIN	OTH
Maharastradrohi on the unemployed and education policy heavy-handed, but they are expressed.	Offensive	TIN	OTH
Early in the year I was tujai sure to look sexy shows the Ball by phone LI	Offensive	TIN	IND
The slow but lower	Offensive	UNT	NULL
Oh, not now know who hired you to do Joshi plays. You use the word like a curse that lavada States ...	Offensive	TIN	IND
Yes? Aighalya followers of catato why? See what's new ... more	Offensive	TIN	IND
Rascal sanjya donor will open its boca	Offensive	TIN	IND
Along with Kashmiri wedding and did landya Marathi lessons of here. This should be done as close to dalabhadri abp	Offensive	TIN	IND
Sanjay Raut of Shiv Sena is aighalya has become a eunuch ... removed the dog owner if the Shiv Sena Sonia randece payacate servant ...	Offensive	TIN	IND
Hey kid, and now offers a few free so when Kangana speaks Mumbai and Mumbai police ... NOT OFFENSIVE	Offensive	NULL	NULL
And not like Michael 's sugarcane juice running NOT OFFENSIVE	Offensive	NULL	NULL
Gucci Sunglasses should be the mother of Manorama herlead	Offensive	UNT	NULL
Dalabhadri take these people head unnecessarily and bard's work only to the benefit of their government hans hans.	Offensive	TIN	GRP
Blisters do not go into the office to fire him bhencota property jhat Jeremy	Offensive	TIN	OTH
And you say this bhadavya ...	Offensive	TIN	IND
These goats your common sense and put the back of the pocket. It is here that the countdown to eat here ...	Offensive	TIN	IND
NOT for herlead Golu HINDI	Offensive	NULL	NULL
Whose going to asaca horse in the race on utaravalya. Mouth, pointing ...	Offensive	UNT	NULL
The brand is the word that if the characters break bramnda Br + widow .... sanjya will say that most of the 🤣🤣🤣	Offensive	TIN	IND
All calls are coming from a fairly beguiling online from Uttar Pradesh and Bihar in Hindi, Marathi was no call ...	Offensive	UNT	NULL
Oh cutya Gurav tujya is the father of the widow to phasavata that day ...	Offensive	TIN	IND
There is a great herlead and boca hica	Offensive	TIN	IND
Kanganaca new Marathi picture up my boca ...	Offensive	TIN	IND
Abe rajjo that there is a slow 🤣🤣🤣 satirical site is the party that you sobhatesa Ray 🤣🤣🤣	Offensive	TIN	IND
• You have to fill your stomach, and we are not called you here here the other beggars bhaiyyanna Maharashtra ...	Offensive	TIN	GRP
Which is not one of the red eye are not so slow that they understand that it is the former naval ...	Offensive	TIN	OTH
Really very beautiful video. Very fitting and all mandalanya within words. It is expected to see when common sense should bhayyanna here ...	Offensive	TIN	OTH
Without what ghodam killed ??? Shiv Sena had a number of heavy-handed. Why take him in? Said 🤣 ...	Offensive	TIN	IND
Dalindara party and its activists are still bhikaracota if you are giving importance paksapremala reservation samajahita than un ...	Offensive	TIN	OTH
You rented half of nickel bhadakhau not asking you dog you count money ... You competence Marathi artist jhatya	Offensive	TIN	IND
It is not just how big? When taken by mouth thing to take the girls palavuna government swallowed the insult ...	Offensive	TIN	GRP
Whose father also sainika to the morning shift is bound up boca public tongs Mumbai now faces the laitana say ...	Offensive	TIN	GRP
Immediately below is the widow of Ray Corner tujyei	Offensive	TIN	IND
bmc bmc of phavadya you phavadya of what Ray and come with me, but how much is being recovered when the vote is about jcb bhadavya dipojhita	Offensive	TIN	IND
Lund Do not remove thy father Frustration on Twitter as not your mouth	Offensive	TIN	IND
BJP activists of information is slow ... but one whose voice goes with red eye ...	Offensive	TIN	GRP
Rofl ... What could muster such a large number come ... haha ​​... phaktta not intimidate head in the mouth	Offensive	UNT	NULL
The same is special. Here on the left 54 ​​dalabhadri 44. The generations of his own tumbadya ...	Offensive	TIN	OTH
Mumbai is not just amaci Marathi man your father. If you decide Gourmet ...	Offensive	TIN	IND
Hey stupid argument to 9 201 in front adv in the Maratha thorat Solapur meeting ...	Offensive	TIN	IND
The filing also arrested when the slow devotee crime. The court granted the land. will sunavanya	Offensive	TIN	IND
Each boyfriend of girlfriend is the only thing on the mind of man is the biggest madarcoda bestfriend ...	Offensive	TIN	IND
10 months .. The Goats khelatayam?	Offensive	TIN	IND
Happy day to all national dalabhadri sarvavikri new moons. Tribute to pakodevale.	Offensive	UNT	NULL
Goats in the eyes used to play the bad transcript seen sahyadrikade eyes vataruna Sahyadri tongue will be trimmed ...	Offensive	TIN	OTH
This tukara dalabhadri picture itself mean that the mind forward to the work that Kangana Vivek Agnihotri ...	Offensive	TIN	OTH
Hi tvitarakara this reading of the book that the people of the book the original 'How I Taught My gramdamadara to read ... NOT OFFENSIVE	Offensive	NULL	NULL
The Goats played 5 years? This year however said efforts to	Offensive	TIN	OTH
Now you sleep h Champa vacha Goats Seth E. scandal	Offensive	TIN	IND
Goats playing	Offensive	TIN	OTH
The mouth of the aphids and the villain Sanjay Raut said kanganala.	Offensive	TIN	GRP
Herlead is cool.	Offensive	TIN	IND
Bhikaracota Leica media artists all have been sold to the state government's work.	Offensive	TIN	OTH
Heavy Lucca Sawant that there are many carpet for the servant of palupadam ucalya bhikaracota lugadi wash Pappu Pappu ...... ...	Offensive	TIN	IND
 Politicians have dalabhadri	Offensive	UNT	NULL
 Heavy-handed, he did not have the courage to speak pana congya layakica road mark to dhande 🤣	Offensive	TIN	IND
 Do you think you're bhikaracota news channel and not intimidate you,	Offensive	TIN	IND
 Chat bhaktada not take their mouth	Offensive	TIN	IND
 Tuji dalabhadri mentality are understood to be the ideal day for them as nasebajanna	Offensive	TIN	IND
 The accountant government are silent like a mallet araksanace smears from the mouth accusers could face mouth kind of politics ... Ba ...	Offensive	TIN	GRP
 Motherfucker you know peels are removed randaci hoody .... I die ...	Offensive	TIN	GRP
 Aighalya he was right words, but you have your mother here ghyayacica jhavuna ...	Offensive	TIN	IND
 What's geography is very high bekkara what causes the slow man of your head hagala that Modi's dung bharalaya your history ...	Offensive	TIN	IND
 In one incident every day coming to the prudence, wisdom is indeed destroyed. Hekekhorica is arrogant hubris ...	Offensive	UNT	NULL
 Andhabhaktanna is not their task to push the goats disappeared Corona	Offensive	TIN	GRP
 A silent khulya l ..... ..... just you and your starving Kashi your gayapatyatale loksa Mumbai and Maharashtra	Offensive	TIN	GRP
 This dude is not brought up the princes have been nivadunaca is the 13th consecutive year that the number of previous ...	Offensive	TIN	IND
 Maharashtra is Marathi language Marathi bhayye bhaiyyani. This is my way pakadalaya devendrabhaunni Bihar ...	Offensive	TIN	IND
 You are now believed to berojakara .... if you will, who bowls on the job ?? Without this stupid ordinance Parliament ...	Offensive	TIN	IND
 If you do a little study was stupid Oh Well now by Dadasaheb Phalke, but has started to study	Offensive	TIN	IND
 Bhikaracota better shape the politics of water was the first life jababadarina eyes tell High Court decision to the Supreme ...	Offensive	TIN	GRP
 How do we know this is told to alight Even heat	Offensive	UNT	NULL
 No two dogs are very unfit dalabhadri own ideological attitude, but do not ask if it was to ridicule others who speak	Offensive	TIN	IND
 Yet brigedi bhadavya competence. Strength? And you Sharad Pawar's under ...	Offensive	TIN	IND
 There is a great herlead and boca hica	Offensive	TIN	IND
 Only dim Gopichand	Offensive	TIN	IND
 It has been a true student life in the market having put in the mouth of death, say the students say hita ...	Offensive	UNT	NULL
 Upatayala comes to me on navicarata majhacatato has increased 40 bolato jhata give money, I buy ... ...	Offensive	TIN	IND
 Maratha reservation is necessary to reflect on the opposition and the ruling has been stayed on dalabhadri leave politics ...	Offensive	UNT	NULL
 These people are going to name nakotithe like a fool Marathi identity politics of Maharashtra big losses by surplus. And ...	Offensive	UNT	NULL
 Arnaba people like Kangana says no feeling of a man whose father came to Mumbai and Marathi as their pots here dhuni ...	Offensive	TIN	IND
 The half-inch cocks you have kids honareta Yes handagya draw Bandra and your kids live half-inch grainy	Offensive	TIN	IND
 Devedrajinni virtually mouth bharavalela grass or to gilata but that was not to the caste of Maharashtra ...	Offensive	TIN	IND
 Maharashtra Chief Minister are talking about marriage? Ready to express your feelings of ...	Offensive	TIN	IND
 in mort	Offensive	TIN	IND
 Work From Home in ophisavale like Michael 's life, but much work that out yourself ... but do not have time to watch it .... no luck wedding ...	Offensive	UNT	NULL
 I like Bengali, Marathi-in-law vahinica jhavadya	Offensive	UNT	NULL
 And the last case was sushanti kanganace down the toilet 🤣	Offensive	UNT	NULL
 Upi of marijuana Alia kill the widow and the widow land contamination	Offensive	TIN	IND
 If this guy does not make a big slash the man himself playing the game they can play too radica gallitaca Goats in the second ...	Offensive	TIN	IND
 My father came home ..... motherfucker was going to come to you Bihar	Offensive	TIN	OTH
 Pomane motherfucker moms unemployed dhurara gandituna your rhythm is ready to shut ahetu oil. Throw a ...	Offensive	TIN	IND
 Oh, how foolish it is to help farmers to keep update the emergency help bring a little more knowledge of the statistics and be the ...	Offensive	TIN	IND
 Fearful of what the dj to play Goats Bravo. Yet no one over.	Offensive	TIN	IND
 So what was the sport you Goats?	Offensive	UNT	NULL
 If your mouth will water at the door of the batch ghanaca.	Offensive	TIN	IND
 in pot	Offensive	UNT	NULL
 Look carefully dickhead postal stamp on the card .. Fake ID is written there in 1990 in Mumbai ... Mumbai ...	Offensive	UNT	NULL
 Dalindara party and its activists are still bhikaracota if you are giving importance paksapremala reservations un samahita than you ...	Offensive	TIN	GRP
 Some day the local bhikaracota go through this alone is the harmonium in the phatakya cloth trains. Now this is from the practice ...	Offensive	TIN	IND
 Oh, was not commonplace bhikaracota samudratala Chhatrapati Shivaji statue? Bo is not your competence to take tyanca name ...	Offensive	TIN	IND
 This slow you think you were overly wise as thou art there aheani was crazy was finished ...	Offensive	TIN	IND
 Senika are slow	Offensive	UNT	NULL
 There are a lot of dirt in the shower now parabhasika randanci side to pass through the widow makers would have to be avalada	Offensive	TIN	OTH
 S like Michael Ho ??	Offensive	UNT	NULL
 Where did you fool, what should tithaca haganaryala utaravayala What shoes do not put Arti.	Offensive	UNT	NULL
 Kangana's sound aloud cymbals ...	Offensive	TIN	IND
 If your mother is eating bahinici say the hell with Mr. Ray is with you tonight ...	Offensive	TIN	IND
 Progressive thinking about taking slow	Offensive	UNT	NULL
 Lord Vishnu Ram, Sita Mata temple here in 1978 nagapattanama and big idol of the ancient and very beautiful Cho ...	Offensive	UNT	NULL
 This is where they pick up enough soldiers to slow tongue cleave to the plant and know what hour 🤦	Offensive	TIN	OTH
 The destiny of L courteous people living in Pakistan's border region of Pakistan or India are not paki street considered the father of the country's own ...	Offensive	UNT	NULL
 She is widow	Offensive	TIN	IND
 S like Michael saw tears come to my ababa camacegiri Rao What is loyalty in the eye	Offensive	UNT	NULL
 This is what happened to all the money on the Ram temple bhikaracota Gabbar from the 90s is not the first time ...	Offensive	UNT	NULL
 dslr camakavalam what the hell ..... Even though dalabhadri nasibacam?	Offensive	UNT	NULL
 Kundan is the burning of gandita who laid the wood bc boca de hana motherfucking of the address ayaghalya say ...	Offensive	TIN	IND
 Maharashtra ventilator mask PPE kits, but people will not let y grade security in a hysterical woman.	Offensive	TIN	OTH
 Maybe I know what jhata	Offensive	UNT	NULL
 Oh, here we all are stupid, but they advised rest on his native state, which is the ...	Offensive	TIN	IND
 Shiv Sena, Congress had laphadyata himacalamadhila unauthorized closure ...	Offensive	UNT	NULL
 How little do not mind Raut, sir? Playful attacks are named as a reaction dalabhadri alright ...	Offensive	TIN	IND
 Basically Marathi Twitter pests have taken the art to the people.	Offensive	TIN	IND
 These are the forgotten army of thy father, but a foolish Ray	Offensive	TIN	IND
 Now, some like Michael 's post on social media, but did so or do you Like, I think that your mobile screen ...	Offensive	UNT	NULL
 Goats make many when they had a large following Dwyane gotyane heat are below 1980 Da was founded to ...	Offensive	UNT	NULL
 Saints dalabhadri serani y + Security Center, taking the back door, but the back of your serani bhaktano there. ...	Offensive	TIN	IND
 You do not have time to hold dictate mouth than leases were bhosadi slow brain. I mean phasijhama key ...	Offensive	TIN	IND
 I thought of my ex after the second world .. not there yet. . . . Then I looked to my mind ... and Kangana	Offensive	TIN	IND
 Tujai widow in her Aicha indeed your father since sataupatya lavandu	Offensive	TIN	IND
 What villain to mastikhora Now, wash them up and dumped words words Hug boca de gaphurauddina of poetry thief ana ...	Offensive	TIN	IND
 Elijhabaitha Yes you ?? What the queen? The Pappu Khan lavada colanari	Offensive	TIN	IND
 Mamu put the tondata	Offensive	UNT	NULL
 Some can not say for sure who to this day, the dim sainikancam met some senior people in the morning Morning Walk ...	Offensive	TIN	OTH
 Comya to teach him before heavy-handed ghalanarya seeds Mora	Offensive	TIN	IND
 Of course, the brother should have been used only in Maharashtra and Marathi optionally English ...	Offensive	UNT	NULL
 You tell the kid palavya Raml kon lagto re aighalya	Offensive	TIN	IND
 What words do not say anything aighalya be 🤣 mice and they set the house 🤣🤣 105	Offensive	TIN	IND
 Disconnect vhayaleta un interrupted phonam VV doing this all day long head bhuga karayaleta. Hey than the cost of such a promotion ...	Offensive	TIN	IND
 A partial wonder what you put rubbish? How Vidarbha ...	Offensive	TIN	IND
 Accountant who oppose them just as Brahman is not your wife, to your reservation magatoya at the lower level ...	Offensive	TIN	IND
 Any dispute whether or not the Chu took the name of Shivaji Maharaj and not karamataca .... ...	Offensive	TIN	IND
 But just agree ideological dalabhadri	Offensive	UNT	NULL
 Who is going to make a fool of you arguing with a fool .. We had ...	Offensive	UNT	NULL
 Hey ... Do not get me believable wallet ... in the next government? Kak fool this government need tikavayaci second there ...	Offensive	UNT	NULL
 He was discovered while on a trip from shorts pants also .. but the virus has padala poor nose all ...	Offensive	TIN	IND
